Peak_Irr,Tot_E
4.62E-06,3.74E+26
1.11E-05,9.61E+26
2.30E-06,1.42E+27
1.29E-06,1.42E+27
1.37E-06,2.03E+27
1.15E-06,2.19E+27
1.23E-06,2.31E+27
1.80E-06,2.37E+27
3.49E-06,2.99E+27
1.57E-06,3.63E+27
1.96E-06,3.68E+27
2.68E-06,3.71E+27
1.89E-06,4.14E+27
4.64E-06,5.27E+27
4.30E-06,5.62E+27
2.44E-05,5.89E+27
1.96E-06,6.38E+27
1.62E-06,6.81E+27
5.80E-06,6.90E+27
7.57E-06,7.34E+27
1.89E-06,7.66E+27
1.76E-06,7.70E+27
7.00E-06,7.89E+27
3.99E-06,7.97E+27
5.27E-06,8.00E+27
4.78E-06,8.76E+27
3.70E-06,9.80E+27
1.75E-06,9.85E+27
2.87E-06,1.04E+28
4.30E-06,1.04E+28
3.17E-06,1.07E+28
3.78E-06,1.11E+28
5.72E-06,1.12E+28
4.20E-06,1.18E+28
5.60E-06,1.19E+28
1.57E-05,1.19E+28
7.15E-06,1.24E+28
1.03E-05,1.38E+28
6.24E-06,1.63E+28
1.70E-06,1.73E+28
8.15E-06,1.78E+28
1.28E-05,1.83E+28
4.17E-06,1.88E+28
6.35E-06,2.27E+28
1.43E-05,2.55E+28
5.59E-06,2.69E+28
5.69E-06,2.76E+28
2.94E-05,2.78E+28
3.16E-05,2.78E+28
2.29E-05,2.80E+28
4.29E-06,2.89E+28
3.90E-06,2.92E+28
8.90E-06,2.98E+28
1.61E-05,3.14E+28
8.00E-06,3.15E+28
1.13E-05,3.16E+28
4.26E-06,3.85E+28
2.08E-05,4.92E+28
2.08E-05,4.93E+28
1.52E-05,4.96E+28
2.08E-05,5.18E+28
2.75E-06,5.45E+28
3.60E-05,6.97E+28
2.50E-04,7.15E+28
2.51E-05,7.23E+28
2.00E-05,7.47E+28
2.08E-05,7.99E+28
5.96E-05,8.08E+28
2.99E-05,8.23E+28
1.40E-05,9.01E+28
5.50E-05,9.02E+28
9.32E-05,9.15E+28
1.83E-05,9.32E+28
5.82E-05,9.56E+28
5.83E-05,9.58E+28
3.91E-05,9.69E+28
4.04E-05,1.04E+29
4.03E-04,1.08E+29
5.80E-05,1.14E+29
5.57E-06,1.40E+29
6.34E-05,1.50E+29
2.90E-05,1.61E+29
6.34E-05,1.62E+29
2.22E-04,1.62E+29
1.00E-04,1.82E+29
6.70E-05,1.86E+29
6.70E-05,1.86E+29
6.75E-05,1.86E+29
6.72E-05,1.95E+29
6.71E-06,1.98E+29
5.30E-05,2.00E+29
6.71E-05,2.06E+29
7.96E-05,2.08E+29
7.96E-05,2.09E+29
4.70E-05,2.23E+29
3.40E-04,2.27E+29
8.20E-05,2.34E+29
8.10E-04,2.38E+29
1.06E-05,2.68E+29
6.56E-05,2.68E+29
1.10E-04,2.70E+29
1.57E-04,2.73E+29
1.80E-04,3.13E+29
1.80E-04,3.13E+29
3.60E-05,3.16E+29
1.81E-04,3.22E+29
5.80E-05,3.40E+29
2.19E-04,3.46E+29
2.74E-04,3.46E+29
7.30E-05,3.79E+29
1.74E-04,4.60E+29
1.55E-04,5.15E+29
2.20E-04,5.21E+29
2.20E-04,5.25E+29
2.30E-05,5.27E+29
2.19E-04,5.28E+29
2.35E-04,5.49E+29
1.39E-04,5.57E+29
2.30E-04,6.66E+29
7.00E-04,7.30E+29
7.00E-04,7.73E+29
1.70E-04,9.57E+29
1.25E-04,9.93E+29
2.80E-04,1.05E+30
3.00E-04,1.16E+30
3.23E-04,1.16E+30
3.23E-04,1.17E+30
2.01E-04,1.23E+30
2.01E-04,1.23E+30
2.00E-04,1.28E+30
1.80E-04,1.38E+30
3.97E-04,1.38E+30
1.79E-04,1.40E+30
1.04E-05,1.45E+30
1.10E-04,1.56E+30
1.10E-04,1.56E+30
1.10E-04,1.56E+30
1.66E-04,1.82E+30
1.66E-04,1.83E+30
4.98E-04,1.95E+30
1.89E-04,1.96E+30
3.20E-03,3.34E+30
9.33E-04,4.54E+30
8.10E-04,7.05E+30
9.35E-05,8.11E+30